Cep,Logradouro,Bairro,Cidade,Uf
40130000,Avenida Sete de Setembro,Barra,Salvador,BA
40130001,Avenida Sete de Setembro,Barra,Salvador,BA
40130010,Rua Oscar Carrascosa,Barra,Salvador,BA
40130020,Rua Doutora Praguer Fróes,Barra,Salvador,BA
40130030,Avenida Princesa Isabel,Barra,Salvador,BA
40130040,Rua Comendador Bernardo Catarino,Barra,Salvador,BA
40130120,Avenida Brandão,Barra,Salvador,BA
40130125,Vila Brandão,Barra,Salvador,BA
40130150,Rua Raul Drumond,Barra,Salvador,BA
40130160,Rua Tenente Pires Ferreira,Barra,Salvador,BA
40130170,Rua Forte de São Diogo,Barra,Salvador,BA
40130190,Avenida Osório,Barra,Salvador,BA
40130200,Rua Presidente Kennedy,Barra,Salvador,BA
40130280,Rua Alberto Martins Catarino,Barra,Salvador,BA
40140000,Avenida Princesa Isabel,Barra,Salvador,BA
40140005,Avenida Princesa Leopoldina,Barra,Salvador,BA
40140020,Alameda Antunes,Barra,Salvador,BA
40140030,Rua César Zama,Barra,Salvador,BA
40140040,Rua Barão de Sergy,Barra,Salvador,BA
40140050,Vila Campos,Barra,Salvador,BA
40140060,Rua Barão de Itapoã,Barra,Salvador,BA
40140070,Rua Lord Cochrane,Barra,Salvador,BA
40140080,Rua Afonso Celso,Barra,Salvador,BA
40140090,Rua Professor Lemos Brito,Barra,Salvador,BA
40140100,Rua Engenheiro Milton Oliveira,Barra,Salvador,BA
40140110,Avenida Sete de Setembro,Barra,Salvador,BA
40140130,Avenida Oceânica,Barra,Salvador,BA
40140140,Rua Alfredo Magalhães,Barra,Salvador,BA
40140141,Rua Alfredo Brito,Barra,Salvador,BA
40140150,Rua Francisco Otaviano,Barra,Salvador,BA
40140160,Rua Professor Fernando Luz,Barra,Salvador,BA
40140170,Rua Leoni Ramos,Barra,Salvador,BA
40140180,Rua Airosa Galvão,Barra,Salvador,BA
40140190,Rua Miguel Burnier,Barra,Salvador,BA
40140210,Rua Doutor Artur Neiva,Barra,Salvador,BA
40140230,Avenida Almirante Marques de Leão,Barra,Salvador,BA
40140240,Rua Marquês de Caravelas,Barra,Salvador,BA
40140241,Rua Marquês de Caravelas,Barra,Salvador,BA
40140242,Rua Marquês de Caravelas,Barra,Salvador,BA
40140250,Rua Greenfeld,Barra,Salvador,BA
40140260,Rua da Palmeira,Barra,Salvador,BA
40140270,Rua Dias D'Ávila,Barra,Salvador,BA
40140280,Rua Dom Marcos Teixeira,Barra,Salvador,BA
40140290,Travessa Greenfeld,Barra,Salvador,BA
40140300,Travessa Marquês de Caravelas,Barra,Salvador,BA
40140305,Vila Diná,Barra,Salvador,BA
40140306,Travessa Diná,Barra,Salvador,BA
40140310,Rua Eduardo Diniz Gonçalves,Barra,Salvador,BA
40140320,Rua Florianópolis,Barra,Salvador,BA
40140330,Rua Recife,Barra,Salvador,BA
40140340,Rua São Luiz,Barra,Salvador,BA
40140350,Rua Belém do Pará,Barra,Salvador,BA
40140360,Rua Aracaju,Barra,Salvador,BA
40140370,Rua Maceió,Barra,Salvador,BA
40140380,Rua Belo Horizonte,Barra,Salvador,BA
40140390,Rua Augusto Frederico Schmith,Barra,Salvador,BA
40140400,Avenida Centenário,Barra,Salvador,BA
40140410,Rua Fernão Magalhães,Barra,Salvador,BA
40140420,Rua José Pancetti,Barra,Salvador,BA
40140430,Rua Carlos Chiacchio,Barra,Salvador,BA
40140440,Rua Cândido Portinari,Barra,Salvador,BA
40140450,Rua Silvino Marques,Barra,Salvador,BA
40140460,Rua Guadalajara,Barra,Salvador,BA
40140461,Rua Guadalajara,Barra,Salvador,BA
40140470,Rua Doutor Deraldo Dias de Moraes,Barra,Salvador,BA
40140480,Rua Amílcar Falcão,Barra,Salvador,BA
40140490,Rua Doutor Américo Silva,Barra,Salvador,BA
40140530,1ª Travessa Doutor Deraldo Dias de Morais,Barra,Salvador,BA
40140540,2ª Travessa Doutor Deraldo Dias de Morais,Barra,Salvador,BA
40140550,3ª Travessa Doutor Deraldo Dias de Morais,Barra,Salvador,BA
40140570,Praça Amigos da Marinha,Barra,Salvador,BA
40140590,Travessa Marques de Leão,Barra,Salvador,BA
40140600,Rua Doutor Pedro de Souza Pondé,Barra,Salvador,BA
40140610,Rua Morro do Escravo Miguel,Barra,Salvador,BA
40140620,Rua Doutor Rubem Chaves,Barra,Salvador,BA
40140630,Rua Oliveira Salazar,Barra,Salvador,BA
